created_at,id_str,full_text,user.location,entities.hashtags,retweeted_status.full_text
Mon Oct 24 23:52:14 +0000 2022,1584694283848015872,RT @gazetadopovo: 🎧 PODCAST 15 MINUTOS - O que Bolsonaro vai fazer para tentar conquistar eleitores na reta final do 2º turno: https://t.co…,,[],"🎧 PODCAST 15 MINUTOS - O que Bolsonaro vai fazer para tentar conquistar eleitores na reta final do 2º turno: https://t.co/OZE51s0vRw

#Eleições2022 https://t.co/4eyv9xPrcd"
Mon Oct 24 23:52:13 +0000 2022,1584694282719744000,RT @TwitterBrasil: O Twitter é para onde as pessoas vêm quando querem acompanhar e participar de conversas sobre as #Eleições2022. Trabalha…,,"[{'text': 'Eleições2022', 'indices': [116, 129]}]",O Twitter é para onde as pessoas vêm quando querem acompanhar e participar de conversas sobre as #Eleições2022. Trabalhamos para que esse debate público seja cada vez mais relevante e de qualidade. Veja como: https://t.co/epsnoKANCw
Mon Oct 24 23:52:12 +0000 2022,1584694278638669826,"RT @choquei: 🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF",,"[{'text': 'Eleiçoes2022', 'indices': [91, 104]}]","🚨AGORA: Jason Momoa, nosso Aquaman, declarou apoio a Lula (13) em seu stories #Eleiçoes2022 https://t.co/1XkCO32rVF"
Mon Oct 24 23:52:11 +0000 2022,1584694273559367680,"RT @choquei: 🚨AGORA: Pesquisa Atlas divulgada neste momento mostra Lula com 52,0% (cresceu 0,9 ponto) e Bolsonaro com 46,2% (caiu 0,3 ponto…",☀️♍🌟♐🌕♈,[],"🚨AGORA: Pesquisa Atlas divulgada neste momento mostra Lula com 52,0% (cresceu 0,9 ponto) e Bolsonaro com 46,2% (caiu 0,3 ponto). #Eleições2022"
Mon Oct 24 23:52:08 +0000 2022,1584694258954829824,"RT @bchartsnet: 🚨 FANFIC EMERGENCY: desesperados, Bolsonaristas estão espalhando uma fake news de que uma balsa teria sido explodida com el…",,[],"🚨 FANFIC EMERGENCY: desesperados, Bolsonaristas estão espalhando uma fake news de que uma balsa teria sido explodida com eleitores. A notícia verdadeira é sobre garimpo ilegal (que Bolsonaro adora). #Eleicoes2022 https://t.co/GVxUGVbDZg"
Mon Oct 24 23:52:07 +0000 2022,1584694254538194944,"RT @UOLNoticias: IPEC PRESIDENCIAL: 2º turno - Lula tem 54%, Bolsonaro 46% dos votos válidos #Eleições2022 #UOLEleições2022📈","São Luís, Brasil","[{'text': 'Eleições2022', 'indices': [93, 106]}, {'text': 'UOLEleições2022', 'indices': [107, 123]}]","IPEC PRESIDENCIAL: 2º turno - Lula tem 54%, Bolsonaro 46% dos votos válidos #Eleições2022 #UOLEleições2022📈"
Mon Oct 24 23:52:05 +0000 2022,1584694246455463936,"RT @opovo: Liderados por Tasso, empresários defendem voto em Lula ""em defesa da democracia""

#Eleições2022 #Eleições2022opovo 
https://t.co…",,"[{'text': 'Eleições2022', 'indices': [93, 106]}, {'text': 'Eleições2022opovo', 'indices': [107, 125]}]","Liderados por Tasso, empresários defendem voto em Lula ""em defesa da democracia""

#Eleições2022 #Eleições2022opovo 
https://t.co/Fil9TBO8sL"
Mon Oct 24 23:52:04 +0000 2022,1584694243058020352,RT @choquei: 🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022…,"Brasília, Brasil","[{'text': 'Eleições2022', 'indices': [126, 139]}]",🚨GRAVE: Médicos em hospital de Natal-RN constrangem e coagem paciente em trabalho de parto a votar em Bolsonaro. #Eleições2022 https://t.co/ssdwmFvo4T
Mon Oct 24 23:51:57 +0000 2022,1584694212813271040,"RT @hacker_real1: #Eleições2022 
Quem vai ser o Presidente do Brasil? 🇧🇷",Belo Horizonte,"[{'text': 'Eleições2022', 'indices': [18, 31]}]","#Eleições2022 
Quem vai ser o Presidente do Brasil? 🇧🇷"
Mon Oct 24 23:51:55 +0000 2022,1584694204915421185,"RT @Estadao: Pesquisa Ipec no segundo turno: Lula tem 50% das intenções de voto; Bolsonaro, 43% (via @EstadaoPolitica) #Eleicoes2022 https:…","Sao Paulo, Brazil","[{'text': 'Eleicoes2022', 'indices': [119, 132]}]","Pesquisa Ipec no segundo turno: Lula tem 50% das intenções de voto; Bolsonaro, 43% (via @EstadaoPolitica) #Eleicoes2022 https://t.co/CF8G0CcQZs https://t.co/KfNL98rOon"
Mon Oct 24 23:51:50 +0000 2022,1584694184543662080,"#Bolsonaro22 #ViraBrasil O Gado, não enxerga! #TarcisiodeFreitas #TarcisioGovernadorSP10 #TarcisioGovernadorSP2022 #TarcisioGovernadorSP10 #SÃOPAULO #saopaulo #RiodeJaneiro #MinasGerais #bolsonaro #Eleiçoes2022 #Eleições2022 #ViraVoto https://t.co/HIW1iWCRcd",,"[{'text': 'Bolsonaro22', 'indices': [0, 12]}, {'text': 'ViraBrasil', 'indices': [13, 24]}, {'text': 'TarcisiodeFreitas', 'indices': [46, 64]}, {'text': 'TarcisioGovernadorSP10', 'indices': [65, 88]}, {'text': 'TarcisioGovernadorSP2022', 'indices': [89, 114]}, {'text': 'TarcisioGovernadorSP10', 'indices': [115, 138]}, {'text': 'SÃOPAULO', 'indices': [139, 148]}, {'text': 'saopaulo', 'indices': [149, 158]}, {'text': 'RiodeJaneiro', 'indices': [159, 172]}, {'text': 'MinasGerais', 'indices': [173, 185]}, {'text': 'bolsonaro', 'indices': [186, 196]}, {'text': 'Eleiçoes2022', 'indices': [197, 210]}, {'text': 'Eleições2022', 'indices': [211, 224]}, {'text': 'ViraVoto', 'indices': [225, 234]}]",
